Input Frequency,Desired Frequency,Real Frequency,D,M,F,O
100,301,301.0752688172043,3,35.0,0,3.875
100,302,302.15053763440864,3,35.125,0,3.875
100,303,303.2258064516129,1,11.75,0,3.875
100,304,304.03225806451616,4,47.125,0,3.875
100,305,305.16129032258067,5,59.125,0,3.875
100,306,305.80645161290323,5,59.25,0,3.875
100,307,307.0967741935484,5,59.5,0,3.875
100,308,308.06451612903226,2,23.875,0,3.875
100,309,309.03225806451616,5,59.875,0,3.875
100,310,310.0,1,11.625,0,3.75
100,311,311.1111111111111,3,35.0,0,3.75
100,312,312.2222222222223,3,35.125,0,3.75
100,313,313.1034482758621,5,56.75,0,3.625
100,314,314.1666666666667,4,47.125,0,3.75
100,315,315.0,2,23.625,0,3.75
100,316,316.0,5,59.25,0,3.75
100,317,317.2413793103448,1,11.5,0,3.625
100,318,318.0,5,59.625,0,3.75
100,319,319.1666666666667,4,47.875,0,3.75
100,320,320.0,1,12.0,0,3.75
100,321,320.9876543209877,3,32.5,0,3.375
100,322,322.0689655172414,5,58.375,0,3.625
100,323,322.98850574712645,3,35.125,0,3.625
100,324,324.13793103448273,1,11.75,0,3.625
100,325,325.0,4,47.125,0,3.625
100,326,326.2068965517241,5,59.125,0,3.625
100,327,326.8965517241379,5,59.25,0,3.625
100,328,327.85714285714283,5,57.375,0,3.5
100,329,328.9655172413793,5,59.625,0,3.625
100,330,330.17241379310343,4,47.875,0,3.625
100,331,331.0344827586207,1,12.0,0,3.625
100,332,332.14285714285717,1,11.625,0,3.5
100,333,333.0357142857143,4,46.625,0,3.5
100,334,333.92857142857144,2,23.375,0,3.5
100,335,335.0,5,58.625,0,3.5
100,336,336.1111111111111,4,45.375,0,3.375
100,337,337.14285714285717,5,59.0,0,3.5
100,338,338.09523809523813,3,35.5,0,3.5
100,339,338.8888888888889,2,22.875,0,3.375
100,340,340.17857142857144,4,47.625,0,3.5
100,341,341.07142857142856,2,23.875,0,3.5
100,342,342.14285714285717,5,59.875,0,3.5
