Input Frequency,Desired Frequency,Real Frequency,D,M,O
125,395,395.0,1,9.875,3.125
125,396,395.8333333333333,1,7.125,2.25
125,397,397.05882352941177,1,6.75,2.125
125,398,398.14814814814815,1,10.75,3.375
125,399,398.8095238095238,1,8.375,2.625
125,400,400.0,1,8.0,2.5
125,401,401.0416666666667,1,9.625,3.0
125,402,402.17391304347825,1,9.25,2.875
125,403,402.77777777777777,1,7.25,2.25
125,404,403.84615384615387,1,10.5,3.25
125,405,404.76190476190476,1,8.5,2.625
125,406,405.7971014492754,3,28.0,2.875
125,407,406.8627450980392,3,20.75,2.125
125,408,407.89473684210526,1,7.75,2.375
125,409,409.09090909090907,1,9.0,2.75
125,410,410.0,1,10.25,3.125
125,411,411.1842105263158,2,15.625,2.375
125,412,411.7647058823529,1,7.0,2.125
125,413,413.04347826086956,1,9.5,2.875
125,414,414.0625,1,6.625,2.0
125,415,414.77272727272725,1,9.125,2.75
125,416,415.7608695652174,2,19.125,2.875
125,417,417.1875,4,33.375,2.5
125,418,418.1034482758621,1,12.125,3.625
125,419,419.11764705882354,1,7.125,2.125
125,420,420.0,1,10.5,3.125
125,421,421.05263157894734,1,8.0,2.375
125,422,421.875,1,6.75,2.0
125,423,423.0769230769231,1,11.0,3.25
125,424,423.9130434782609,1,9.75,2.875
125,425,425.0,1,8.5,2.5
125,426,426.1363636363636,1,9.375,2.75
125,427,427.0833333333333,1,10.25,3.0
125,428,427.88461538461536,1,11.125,3.25
125,429,428.97727272727275,2,18.875,2.75
125,430,430.0,1,10.75,3.125
125,431,431.0344827586207,1,12.5,3.625
125,432,431.8181818181818,1,9.5,2.75
125,433,433.0357142857143,1,12.125,3.5
125,434,433.8235294117647,1,7.375,2.125
125,435,434.7826086956522,1,10.0,2.875
125,436,435.7638888888889,3,31.375,3.0
125,437,436.78160919540227,3,38.0,3.625
125,438,438.21839080459773,3,38.125,3.625
125,439,439.2361111111111,3,31.625,3.0
125,440,440.2173913043478,1,10.125,2.875
125,441,441.1764705882353,1,7.5,2.125
125,442,441.9642857142857,1,12.375,3.5
125,443,443.1818181818182,1,9.75,2.75
125,444,444.07894736842104,2,16.875,2.375
125,445,445.0,1,11.125,3.125
125,446,446.02272727272725,2,19.625,2.75
125,447,447.11538461538464,1,11.625,3.25
125,448,447.9166666666667,1,10.75,3.0
125,449,448.8636363636364,1,9.875,2.75
125,450,450.0,1,9.0,2.5
125,451,451.0869565217391,1,10.375,2.875
125,452,451.9230769230769,1,11.75,3.25
125,453,453.125,1,7.25,2.0
125,454,453.94736842105266,1,8.625,2.375
125,455,455.0,1,11.375,3.125
125,456,455.88235294117646,1,7.75,2.125
125,457,457.03125,2,14.625,2.0
125,458,457.8125,4,36.625,2.5
125,459,459.2391304347826,2,21.125,2.875
125,460,460.22727272727275,1,10.125,2.75
125,461,460.9375,1,7.375,2.0
125,462,461.95652173913044,1,10.625,2.875
125,463,463.2352941176471,1,7.875,2.125
125,464,463.8157894736842,2,17.625,2.375
125,465,465.0,1,11.625,3.125
125,466,465.90909090909093,1,10.25,2.75
125,467,467.10526315789474,1,8.875,2.375
125,468,468.1372549019608,3,23.875,2.125
125,469,469.2028985507246,3,32.375,2.875
125,470,470.23809523809524,1,9.875,2.625
125,471,471.15384615384613,1,12.25,3.25
125,472,472.22222222222223,1,8.5,2.25
125,473,472.82608695652175,1,10.875,2.875
125,474,473.9583333333333,1,11.375,3.0
125,475,475.0,1,9.5,2.5
125,476,476.1904761904762,1,10.0,2.625
125,477,476.9736842105263,2,18.125,2.375
125,478,477.94117647058823,1,8.125,2.125
125,479,479.1666666666667,1,8.625,2.25
125,480,480.0,1,12.0,3.125
125,481,480.7692307692308,1,12.5,3.25
125,482,482.14285714285717,1,10.125,2.625
